ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual
8AB4549FAB5DE6AC,electric_bike,23:24.6,35:57.1,2 Ave & E 72 St,6925.09,2 Ave & E 72 St,6925.09,40.76876203,-73.95840794,40.76876203,-73.95840794,member
F59B73C50E8B58B6,classic_bike,06:22.7,23:39.2,E 81 St & York Ave,7084.12,Broadway & W 58 St,6948.1,40.7728384,-73.94989233,40.76695317,-73.98169333,member
A17B374F1D629E4B,electric_bike,55:15.6,58:57.4,Carlton Ave & Greene Ave,4386.07,Lexington Ave & Classon Ave,4452.03,40.685957,-73.971468,40.68676793,-73.95928168,member
606F367F564A5BD5,classic_bike,49:02.3,55:29.6,2 Ave & E 72 St,6925.09,E 81 St & York Ave,7084.12,40.76876203,-73.95840794,40.7728384,-73.94989233,member
30D5A941C83E7E54,electric_bike,40:34.6,55:27.3,Broadway & W 58 St,6948.1,E 81 St & York Ave,7084.12,40.76695317,-73.98169333,40.7728384,-73.94989233,member
B558CDD0CEB7E802,electric_bike,35:07.3,59:49.7,Carroll St & 6 Ave,4019.06,Vesey Pl & River Terrace,5297.02,40.6740886,-73.9787282,40.7153379,-74.01658354,member
2EE30B3A033855CD,electric_bike,52:11.2,03:20.2,W 44 St & 11 Ave,6756.05,9 Ave & W 45 St,6717.06,40.762009,-73.996975,40.76019252,-73.9912551,member
53EF7A4DB2027AE3,electric_bike,01:55.9,13:42.8,Sedgwick Ave & W 231 St,8756.07,Sedgwick Ave & W 231 St,8756.07,40.87512,-73.90126,40.87512,-73.90126,member
2E78A59E5FC9FD28,classic_bike,02:06.5,03:10.6,9 Ave & W 45 St,6717.06,9 Ave & W 45 St,6717.06,40.76019252,-73.9912551,40.76019252,-73.9912551,member
B0063362C278D0EA,electric_bike,08:25.8,21:21.4,Bulova Ave & Brooklyn Queens Expressway W,6766.03,21 St & 43 Ave,6395.01,40.762507,-73.902534,40.75052534,-73.94594845,member
3B0D12EF771D25CF,classic_bike,56:41.3,05:58.0,Broadway & W 58 St,6948.1,9 Ave & W 45 St,6717.06,40.76695317,-73.98169333,40.76019252,-73.9912551,member
78E9F7267EA90C90,electric_bike,49:03.1,55:33.5,Bulova Ave & Brooklyn Queens Expressway W,6766.03,71 St & 32 Ave,6612.09,40.762507,-73.902534,40.75675,-73.89595,member
808BDEA9D6B0F863,electric_bike,37:51.5,46:18.4,2 Ave & E 72 St,6925.09,Broadway & W 58 St,6948.1,40.76876203,-73.95840794,40.76695317,-73.98169333,member
C657620F6C77CA88,electric_bike,36:34.8,39:14.3,W 44 St & 11 Ave,6756.05,W 44 St & 11 Ave,6756.05,40.762009,-73.996975,40.762009,-73.996975,member
22D963E320619988,electric_bike,57:44.0,26:35.3,Bainbridge Ave & E 196 St,8615.01,Bainbridge Ave & E 196 St,8615.01,40.86648,-73.89042,40.86648,-73.89042,member
0F0F14D712408C56,electric_bike,20:42.4,30:39.1,W 44 St & 11 Ave,6756.05,E 56 St & Madison Ave,6732.01,40.762009,-73.996975,40.761573,-73.972628,member
EE1A34885594BBD9,electric_bike,52:53.4,01:54.0,E 56 St & Madison Ave,6732.01,W 44 St & 11 Ave,6756.05,40.761573,-73.972628,40.762009,-73.996975,member
3FBF831D3CF27FCC,electric_bike,03:07.9,14:06.4,Division Ave & Hooper St,5045.05,Carlton Ave & Greene Ave,4386.07,40.70684203,-73.9544354,40.685957,-73.971468,member
AD43F4F2195A5BA9,electric_bike,53:58.2,58:02.8,Wythe Ave & Metropolitan Ave,5348.02,Banker St & Meserole Ave,5633.04,40.716887,-73.963198,40.72606,-73.95621,member
37505C2D6B8A99D0,electric_bike,55:23.1,08:05.3,7 Ave & 17 St,3660.07,Lexington Ave & Classon Ave,4452.03,40.66093779,-73.98680449,40.68676793,-73.95928168,casual
80D018B18313190E,electric_bike,41:02.6,53:19.1,Hancock St & Malcolm X Blvd,4342.04,Central Ave & Covert St,4550.05,40.68487,-73.9293,40.68929,-73.90951,casual
EECD2871DE26C9BF,classic_bike,50:56.1,56:18.2,W 52 St & 11 Ave,6926.01,9 Ave & W 45 St,6717.06,40.76727216,-73.99392888,40.76019252,-73.9912551,casual
2292A71BFB5A2817,electric_bike,32:51.3,37:20.5,Wythe Ave & Metropolitan Ave,5348.02,Banker St & Meserole Ave,5633.04,40.716887,-73.963198,40.72606,-73.95621,member
50063DF15A77354A,electric_bike,35:25.5,39:07.2,Barclay St & Church St,5216.04,Vesey Pl & River Terrace,5297.02,40.71291224,-74.01020234,40.7153379,-74.01658354,member
916ED4015BF1119C,classic_bike,39:46.4,42:47.3,W 52 St & 11 Ave,6926.01,W 44 St & 11 Ave,6756.05,40.76727216,-73.99392888,40.762009,-73.996975,member
0552B63FD825F0F2,electric_bike,48:39.1,08:09.5,35 St & 30 Ave,6887.03,E 56 St & Madison Ave,6732.01,40.76547569,-73.91811579,40.761573,-73.972628,member
84A003C494DE971C,electric_bike,57:59.2,02:17.0,W 52 St & 11 Ave,6926.01,9 Ave & W 45 St,6717.06,40.76727216,-73.99392888,40.76019252,-73.9912551,member
